number of parts,part,link,price
1, Arduino nano,https://www.aliexpress.us/item/3256806444439267.html?spm=a2g0o.productlist.main.1.41776f37vLWDTR&algo_pvid=4e394614-9f34-4e65-a68c-fa501d66f52d&algo_exp_id=4e394614-9f34-4e65-a68c-fa501d66f52d-0&pdp_ext_f=%7B%22order%22%3A%22979%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.16%210.99%21%21%2121.34%216.71%21%40212a6e2917811937562955295ee78a%2112000037874180833%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=jhdIVRivjsI5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006630754019%7C_p_origin_prod%3A&_gl=1*19crzh4*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTM3NTYkajIxJGwwJGgw,3.16$
1,TP4056 lithium battery charger usb c ,https://souilah-electronique.tn/modules-et-capteurs/1073-module-tp4056-chargeur-de-batterie-lithium-5v-1a-usb-type-c.html,1.53$
2,MG 996R Servo Motor,https://2btrading.tn/robotique/5010-servomoteur-pro-996r-mg996-180.html?srsltid=AfmBOor_I0yCneGb7_wNX3JJnIw7v8-ASDfyViyKFsQKiopUz3xFUgCy,6.42$
1,330mah lithium battery,https://www.aliexpress.us/item/2251832812632549.html?gatewayAdapt=glo2usa4itemAdapt,6.50$
2,US-100 Ultrasonic Distance Sensor,https://www.adafruit.com/product/4019?srsltid=AfmBOoqySXg8F1_QBvQ3Hq_JujuG3i8THF02Nt3zDMid9tuY9gdp8yHy,6.95$
1,Jumper Wires,https://www.aliexpress.us/item/3256810062711054.html?spm=a2g0o.productlist.main.17.49e350b8j8KvAS&algo_pvid=d6feb1b5-a38d-403f-857f-b16e6db432bf&algo_exp_id=d6feb1b5-a38d-403f-857f-b16e6db432bf-16&pdp_ext_f=%7B%22order%22%3A%221172%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.50%210.99%21%21%212.50%210.99%21%40214100f417811941409597287e9b49%2112000051674774613%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=N9leTiRH1nE8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010249025806%7C_p_origin_prod%3A&_gl=1*gv0kjr*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTQxNTQkajQ5JGwwJGgw,5.15$
,total,,34.86$
